Courses,Course Title ,Credit 
1110,Introduction to Computing Technology ,3
1111,Introduction to Computer-Assisted Problem Solving ,3
1222,Introduction to Computer Programming in C++ for Engineers and Scientists ,3
1223,Introduction to Computer Programming in Java ,3
1224,Introduction to Computer Programming in Python,3
2111,Modeling and Problem Solving with Spreadsheets and Databases ,3
2112,Modeling and Problem Solving with Spreadsheets and Databases for Engineers,3
2122,Data Structures Using C++ ,3
2123,Data Structures Using Java ,3
2221,Software I: Software Components ,4
2231,Software II: Software Development and Design ,4
2321,Foundations I: Discrete Structures ,3
2331,Foundations II: Data Structures and Algorithms ,3
2371,Quantum Circuits and Algorithms,3
2421,Systems I: Introduction to Low-Level Programming and Computer Organization ,4
2431,Systems II: Introduction to Operating Systems ,3
2451,Advanced C Programming ,2
2501,"Social, Ethical, and Professional Issues in Computing ",1
3231,Software Engineering Techniques ,3
3232,Software Requirements Analysis ,3
3241,Introduction to Database Systems ,3
3244,Data Management in the Cloud,3
3321,Automata and Formal Languages ,3
3341,Principles of Programming Languages ,3
3421,Introduction to Computer Architecture ,3
3430,Overview of Computer Systems For Non-Majors,4
3461,Computer Networking and Internet Technologies ,3
3521,Survey of Artificial Intelligence I: Basic Techniques ,3
3541,Computer Game and Animation Techniques ,3
3901,"Project: Design, Development, and Documentation of Web Applications ",4
3902,"Project: Design, Development, and Documentation of Interactive Systems ",4
3903,"Project: Design, Development, and Documentation of System Software ",4
4251,The UNIX Programming Environment ,1
4252,Programming in C++ ,1
4253,Programming in C# ,1
4256,Programming in Python,1
4471,Information Security ,3
5052,Survey of Artificial Intelligence for Non-Majors,3
5234,Distributed Enterprise Computing ,3
5235,Applied Enterprise Architectures and Services ,3
5236,Mobile Application Development ,3
5242,Advanced Database Management Systems ,3
5243,Introduction to Data Mining ,3
5245,Introduction to Network Science ,3
5343,Compiler Design and Implementation ,3
5351,Introduction to Cryptography ,3
5361,Numerical Methods ,3
5432,Mobile Handset Systems and Networking ,3
5433,Operating Systems Laboratory ,3
5434,Comparative Operating Systems,3
5441,Introduction to Parallel Computing ,3
5442,High-Performance Deep/Machine Learning,3
5462,Network Programming ,3
5463,Introduction to Wireless Networking ,3
5471,Introduction to Cybersecurity,3
5472,Information Security Projects ,3
5473,Network Security ,3
5474,Software Security,3
5477.01,Offensive Security,3
5477.02,Reverse Engineering and Malware Analysis,3
5523,Machine Learning and Statistical Pattern Recognition ,3
5524,Computer Vision for Human-Computer Interaction ,3
5525,Foundations of Speech and Language Processing ,3
5526,Introduction to Neural Networks ,3
5531,Introduction to Cognitive Science ,3
5542,Real-Time Rendering ,3
5543,Geometric Modeling ,3
5544,Introduction to Scientific Visualization ,3
5545,Advanced Computer Graphics ,3
5546,Virtual Reality,3
5821,Legal Topics for Computer Engineers,3
5891,Proseminar in Cognitive Science ,2
5911,Capstone Design: Software Applications ,4
5912,Capstone Design: Game Design and Development ,4
5913,Capstone Design: Computer Animation ,4
5914,Capstone Design: Knowledge-Based Systems ,4
5915,Capstone Design: Information Systems ,4
5916,Capstone Design: Research-Focused Projects,4
6321,Computability and Complexity ,3
6331,Algorithms ,3
6332,Advanced Algorithms ,3
6333,Distributed Algorithms ,3
6341,Foundations of Programming Languages ,3
6421,Computer Architecture ,3
6422,Advanced Computer Architecture ,3
6431,Advanced Operating Systems ,3
6441,Parallel Computing ,3
6461,Computer Communication Networks ,3
6520,Foundations of Applied Artificial Intelligence for Non-Majors,3
6521,Artificial Intelligence,3
GRADTDA 5620,Practical Learning and Mining for Big Data,3
GRADTDA 5621,Big Data Computing Foundations I,3
GRADTDA 5622,Big Data Computing Foundations II,3
GRADTDA 5625,SeminarDataGov,1
